iter	MultiClass
421	0.3189471438
422	0.3187543091
423	0.3186676013
424	0.3184632436
425	0.3183113202
426	0.3179475754
427	0.3177814784
428	0.3174525537
429	0.3173048392
430	0.3171135406
431	0.316752251
432	0.3166125551
433	0.3163564614
434	0.316205724
435	0.3159864659
436	0.3158074828
437	0.315718347
438	0.3155401163
439	0.3152043071
440	0.3150784925
441	0.3149265234
442	0.3147867683
443	0.3145250124
444	0.3143220955
445	0.3139280965
446	0.3138537639
447	0.3136855657
448	0.3132420493
449	0.313025789
450	0.3128570224
451	0.3127553941
452	0.3126772965
453	0.3125576203
454	0.3124908355
455	0.3123835341
456	0.3122344169
457	0.3121098884
458	0.3120042345
459	0.3118917094
460	0.3118093555
461	0.3113738073
462	0.3112292088
463	0.3111694535
464	0.3110777283
465	0.311002591
466	0.3109005657
467	0.3105706608
468	0.3104291308
469	0.3101278108
470	0.3099523639
471	0.3098501684
472	0.3097417903
473	0.3096378094
474	0.3093821462
475	0.3092402227
476	0.3091390053
477	0.3088194915
478	0.308731846
479	0.3086336188
480	0.3084697392
481	0.3082360846
482	0.3080720145
483	0.3079297479
484	0.3078294176
485	0.3073895358
486	0.3069799163
487	0.3068918686
488	0.3067621544
489	0.3066268544
490	0.3062025434
491	0.3061477424
492	0.3060122906
493	0.3058961056
494	0.3057209719
495	0.3054418143
496	0.305370806
497	0.3048591159
498	0.3045974823
499	0.3044176338
500	0.3040623135
501	0.3039657449
502	0.3038905182
503	0.3035591345
504	0.3033001768
505	0.3031524314
506	0.3030024457
507	0.3028857293
508	0.3027379248
509	0.3025254519
510	0.3024427686
511	0.3022790063
512	0.3021723603
513	0.3018076882
514	0.3017497824
515	0.3014293289
516	0.3013135141
517	0.3012678017
518	0.3012204096
519	0.3006846869
520	0.3005021042
521	0.3003494102
522	0.3002111196
523	0.3000388549
524	0.2999128721
525	0.2996859225
526	0.299587414
527	0.2995495298
528	0.2992928112
529	0.2991010616
530	0.2989162451
531	0.2986274411
532	0.2985197633
533	0.2984031461
534	0.298241621
535	0.2980742635
536	0.2978503068
537	0.2976247217
538	0.29740428
539	0.2972909056
540	0.2971824494
541	0.2969327143
542	0.2968975966
543	0.2967164564
544	0.2966056114
545	0.296516875
546	0.296447075
547	0.2963414889
548	0.2962190911
549	0.2960073055
550	0.2959093172
551	0.2958275274
552	0.2957360596
553	0.2956341313
554	0.2955031335
555	0.2954041638
556	0.2953142845
557	0.2952265672
558	0.2949765067
559	0.2946992984
560	0.2943694625
561	0.2941747251
562	0.2940597265
563	0.2939655686
564	0.2938683696
565	0.2936956528
566	0.2934883262
567	0.2934349022
568	0.2932481938
569	0.2931267794
570	0.2928956539
571	0.2928084447
572	0.2927270446
573	0.2925424079
574	0.2924576605
575	0.2920509861
576	0.2919131239
577	0.2917692212
578	0.2916927596
579	0.2916258846
580	0.2913471935
581	0.2912965492
582	0.2912153171
583	0.2911478436
584	0.2909719799
585	0.2909030527
586	0.2908035872
587	0.2907028117
588	0.2904960004
589	0.2904045746
590	0.2901847029
591	0.2897106962
592	0.2894421819
593	0.2893672891
594	0.2892603716
595	0.2891418716
596	0.2890151825
597	0.2888278592
598	0.2886078401
599	0.2884725905
600	0.2884112855
601	0.2883242163
602	0.2881679563
603	0.2880503545
604	0.2879785312
605	0.2879182537
606	0.287843239
607	0.2877835296
608	0.2876519326
609	0.2876075286
610	0.2873942471
611	0.2873560047
612	0.2872171868
613	0.2871644676
614	0.2870321712
615	0.2868910988
616	0.2867544199
617	0.2866856478
618	0.2865023373
619	0.2862239148
620	0.2860796267
621	0.2860030463
622	0.2859535915
623	0.2855185789
624	0.285448698
625	0.2853923875
626	0.285313543
627	0.2852775253
628	0.28511305
629	0.2849685241
630	0.2848713543
631	0.2846922573
632	0.2846349959
633	0.2845546368
634	0.2845149571
635	0.2844298942
636	0.2841429613
637	0.2840935684
638	0.2840284649
639	0.2839852986
640	0.2838608038
641	0.2837464843
642	0.2836502783
643	0.2835815377
644	0.283495415
645	0.2834393385
646	0.2832507606
647	0.2831937813
648	0.2829665714
649	0.2828907121
650	0.2827558977
651	0.282653679
652	0.2825681383
653	0.2824873845
654	0.2822060686
655	0.2821144205
656	0.2820556984
657	0.2818494376
658	0.2816579789
659	0.2815746263
660	0.2815065869
661	0.2812306609
662	0.2811295764
663	0.2809967222
664	0.2808575579
665	0.2807690247
666	0.2807305047
667	0.2806755201
668	0.2806438621
669	0.2806051744
670	0.2805256638
671	0.2804618272
672	0.2803942666
673	0.2803562612
674	0.2803126618
675	0.2802092204
676	0.2801481048
677	0.2800487916
678	0.2799965499
679	0.2799054836
680	0.2797707747
681	0.2796606682
682	0.2796085393
683	0.279527038
684	0.2794455014
685	0.279411333
686	0.2793781613
687	0.2792992095
688	0.2792689869
689	0.2792294233
690	0.2791443505
691	0.2790650685
692	0.2789155426
693	0.278626079
694	0.2785876566
695	0.2785355996
696	0.2784323454
697	0.2783970782
698	0.2783025738
699	0.2782465055
700	0.2781843608
701	0.2781284237
702	0.2780946758
703	0.278007396
704	0.277829456
705	0.2777041322
706	0.2776414005
707	0.2774716929
708	0.2773814355
709	0.2773125716
710	0.2772130931
711	0.2771571463
712	0.2770676871
713	0.2767009253
714	0.2766416092
715	0.2761597798
716	0.2758458581
717	0.2756413033
718	0.2755591336
719	0.2754783979
720	0.2754361096
721	0.2752821466
722	0.2751652667
723	0.2750390852
724	0.2749723842
725	0.2749300427
726	0.2749079343
727	0.2747702201
728	0.2745359479
729	0.2744985287
730	0.2743303795
731	0.2741350108
732	0.2740685995
733	0.2739938049
734	0.2739517537
735	0.273859784
736	0.2737900758
737	0.2736959736
738	0.2736687472
739	0.2735752709
740	0.2735371315
741	0.2734764116
742	0.2732139493
743	0.2731762187
744	0.2730674101
745	0.2724451263
746	0.2723470496
747	0.2723131744
748	0.2722766614
749	0.2722296966
750	0.2720814589
751	0.2720507358
752	0.2719729192
753	0.2719249019
754	0.2718725233
755	0.2716924363
756	0.2715585429
757	0.2715224915
758	0.2713352905
759	0.2712545976
760	0.271200174
761	0.2711620273
762	0.2711283219
763	0.2710986191
764	0.2710101991
765	0.2708578373
766	0.2707456562
767	0.2706594082
768	0.2706109308
769	0.2705868311
770	0.2703765969
771	0.2703422634
772	0.2702788184
773	0.270216102
774	0.2701319269
775	0.2700572207
776	0.2699729919
777	0.269836982
778	0.2698079029
779	0.2697501237
780	0.2696911383
781	0.2696183038
782	0.2695624126
783	0.2695136563
784	0.2694564797
785	0.2693804646
786	0.2693175289
787	0.2689935184
788	0.2689455116
789	0.2687988855
790	0.2687700341
791	0.2687382088
792	0.2687118754
793	0.268680201
794	0.268651254
795	0.2686225707
796	0.2685652404
797	0.2682181703
798	0.2681779445
799	0.2681558381
800	0.268054768
801	0.2680131919
802	0.2678090377
803	0.2677286708
804	0.2676465823
805	0.2676095367
806	0.2675683218
807	0.2675226529
808	0.2674751123
809	0.2674327906
810	0.2673745801
811	0.267334976
812	0.2672892462
813	0.2672386675
814	0.2671669294
815	0.2670200848
816	0.2669853893
817	0.2669060836
818	0.2668447238
819	0.2667894777
820	0.2667586728
821	0.2666962342
822	0.2665498039
823	0.2665305336
824	0.2664917804
825	0.2664652945
826	0.2663075735
827	0.2661900202
828	0.2661092136
829	0.2660491426
830	0.2657601876
831	0.2657056548
832	0.265569692
833	0.2654523232
834	0.2653964031
835	0.2653374121
836	0.2652552692
837	0.2652275195
838	0.2651951633
839	0.2651431104
840	0.2649125806
841	0.2648841113
842	0.26484868
843	0.2648322776
844	0.264802128
845	0.2646144533
846	0.2645592603
847	0.2644654437
848	0.264398651
849	0.264347571
850	0.2643179149
851	0.2642952522
852	0.2641988354
853	0.264096958
854	0.2639855221
855	0.2639560973
856	0.2639092143
857	0.2638572035
858	0.2638374094
859	0.2637984231
860	0.2637657061
861	0.2637405165
862	0.2637095532
863	0.2636347986
864	0.2635742126
865	0.2634704073
866	0.2634402476
867	0.2634170798
868	0.2633523034
869	0.2633347286
870	0.2632840455
871	0.2632443485
872	0.2631788495
873	0.2631248603
874	0.2630811317
875	0.2630628165
876	0.2629994867
877	0.2629743349
878	0.2629030555
879	0.262821933
880	0.262439782
881	0.262336606
882	0.2623103664
883	0.2622005852
884	0.2621161844
885	0.261898531
886	0.2618455422
887	0.261702445
888	0.261652645
889	0.2616038279
890	0.2614803757
891	0.2614231669
892	0.2613924478
893	0.2612856636
894	0.261234469
895	0.2611248159
896	0.2610814816
897	0.2610526181
898	0.2610176433
899	0.2609724368
900	0.2607716804
901	0.2607358941
902	0.2605176368
903	0.2604654289
904	0.26039832
905	0.2603720795
906	0.2603169941
907	0.2602930137
908	0.2601698444
909	0.2600980807
910	0.2600632557
911	0.2600445241
912	0.2599818247
913	0.2599297021
914	0.2597329107
915	0.2596102967
916	0.2595636589
917	0.2594789851
918	0.2594248855
919	0.2592598236
920	0.2592342649
921	0.2592150791
922	0.2591666527
923	0.2591221737
924	0.2591090162
925	0.2590663909
926	0.2590199806
927	0.2589877233
928	0.2589624318
929	0.258813461
930	0.2587649873
931	0.2586839796
932	0.2585294359
933	0.258496378
934	0.2583071552
935	0.2582598984
936	0.2581857621
937	0.2581597055
938	0.2581154744
939	0.258043145
940	0.2580105037
941	0.2576897194
942	0.2575826895
943	0.2575236353
944	0.2573740718
945	0.2573203947
946	0.2573045087
947	0.2570623448
948	0.2570330186
949	0.2569496642
950	0.2568425726
951	0.2567694207
952	0.2567438303
953	0.2566896167
954	0.2566759236
955	0.2564991575
956	0.2564428642
957	0.2564117301
958	0.2563799749
959	0.2563410149
960	0.25629929
961	0.2562816401
962	0.2562660343
963	0.2561557294
964	0.2561152702
965	0.2561025592
966	0.2560849012
967	0.2560024794
968	0.2558996745
969	0.2558296209
970	0.255744805
971	0.2557190936
972	0.2556934459
973	0.2556017442
974	0.2555807772
975	0.255558009
976	0.2554776778
977	0.2554088077
978	0.2553628661
979	0.2552705312
980	0.2551019401
981	0.2550259679
982	0.2549888722
983	0.254969146
984	0.2549127594
985	0.254785035
986	0.2547601615
987	0.2547227598
988	0.2547040142
989	0.2546676128
990	0.2546426091
991	0.2545931925
992	0.2545615913
993	0.2544305776
994	0.2543290818
995	0.254287372
996	0.2542409169
997	0.2542209705
998	0.2541906672
999	0.2541673471
